_id,TARIH,YANGIN_TURU,YANGIN_SEBEBI,YANGIN_SONUCU,YAPI_SEKLI,ERKEK_VEFAT,KADIN_VEFAT,ITFAIYECI_VEFAT,ERKEK_YARALI,KADIN_YARALI,ITFAIYECI_YARALI,BUYUK_BAS_VEFAT,KUCUK_BAS_VEFAT,KUMES_HAYVANI_VEFAT,EVCIL_HAYVAN_VEFAT,DIGER HAYVAN,VARIS_SURESI (DAK.),KULLANILAN_KOPUK_MIKTARI (KG),KULLANILAN_SU_MIKTARI (m3),KULLANILAN_KURU_KIMYEVI_TOZ_MIKTARI (KG),EKIPLERIN_CIKIS_SAATI,ILCE,ADRES_BOLGESI
1,2025-01-01 00:00:00,BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BAĞDADİ(TAŞ YAPI),0,0,0,0,0,0,0,0,0,0,0,00:07,0,10,0,00:19,TİRE,KIRSAL BÖLGE
2,2025-01-01 00:00:00,OT,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,,0,0,0,0,0,0,0,0,0,0,0,00:03,0,0.3,0,00:36,KARABAĞLAR,KENT MERKEZİ
3,2025-01-01 00:00:00,BİNA,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,BAĞDADİ(TAŞ YAPI),0,0,0,0,0,0,0,0,0,0,0,00:03,0,2,0,00:37,BAYINDIR,KENT MERKEZİ
4,2025-01-01 00:00:00,GEMİ/TEKNE,LPG/DOĞALGAZ,BAŞLANGIÇTA SÖNDÜRÜLEN,,0,0,0,2,0,0,0,0,0,0,0,00:02,0,0,0,01:41,FOÇA,KIRSAL BÖLGE
5,2025-01-01 00:00:00,ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,,0,0,0,0,0,0,0,0,0,0,0,00:03,0,0.4,0,04:15,KARŞIYAKA,KENT MERKEZİ
6,2025-01-01 00:00:00,ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,,0,0,0,0,0,0,0,0,0,0,0,00:04,0,0.2,0,09:43,KARŞIYAKA,KENT MERKEZİ
7,2025-01-01 00:00:00,ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,,0,0,0,0,0,0,0,0,0,0,0,00:08,0,1,0,11:57,FOÇA,KIRSAL BÖLGE
8,2025-01-01 00:00:00,BİNA,ÇOCUKLARIN ATEŞLE OYNAMASI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,0,0,0,0,0,0,0,0,0,0,0,00:05,0,0,0,12:27,KARŞIYAKA,KENT MERKEZİ
9,2025-01-01 00:00:00,İŞYERİ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,0,0,0,0,0,0,0,0,0,0,0,00:02,0,0,0,14:00,DİKİLİ,KIRSAL BÖLGE
10,2025-01-01 00:00:00,ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,,0,0,0,0,0,0,0,0,0,0,0,00:05,0,0.3,0,14:22,ÇEŞME,KENT MERKEZİ
