YANGIN_TURU,YANGIN_SEBEBI,YANGIN_SONUCU,YAPI_SEKLI,VARIS_SURESI,KULLANILAN_KOPUK_MIKTARI,KULLANILAN_SU_MIKTARI,KULLANILAN_KURU_KIMYEVI_TOZ_MIKTARI,EKIPLERIN_CIKIS_SAATI,ILCE,ADRES_BOLGESI,TOTAL_VEFAT,TOTAL_YARALI,TOTAL_HAYVAN_VEFAT
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BAĞDADİ(TAŞ YAPI),7,0.0,10.0,0.0,47.5,TİRE,KIRSAL BÖLGE,0,0,0
OT,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.3,0.0,90.0,KARABAĞLAR,KENT MERKEZİ,0,0,0
BİNA,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,BAĞDADİ(TAŞ YAPI),3,0.0,2.0,0.0,92.5,BAYINDIR,KENT MERKEZİ,0,0,0
GEMİ/TEKNE,LPG/DOĞALGAZ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,2,0.0,0.0,0.0,252.49999999999997,FOÇA,KIRSAL BÖLGE,0,2,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.4,0.0,637.5,KARŞIYAKA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,0.2,0.0,1457.5,KARŞIYAKA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,8,0.0,1.0,0.0,1792.5,FOÇA,KIRSAL BÖLGE,0,0,0
BİNA,ÇOCUKLARIN ATEŞLE OYNAMASI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.0,0.0,1867.5,KARŞIYAKA,KENT MERKEZİ,0,0,0
İŞYERİ,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,2,0.0,0.0,0.0,2100.0,DİKİLİ,KIRSAL BÖLGE,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5,0.0,0.3,0.0,2155.0,ÇEŞME,KENT MERKEZİ,0,0,0
BİNA,KASIT,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3,0.0,0.0,0.0,2172.5,BORNOVA,KENT MERKEZİ,0,0,0
ODUNLUK/KÖMÜRLÜK,İHMAL/DİKKATSİZLİK,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4,0.0,0.3,0.0,2262.5,BAYRAKLI,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.0,0.0,2305.0,BUCA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4,0.0,2.0,0.0,2317.5,BUCA,KENT MERKEZİ,0,0,0
OT,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3,0.0,0.0,0.0,2345.0,KARŞIYAKA,KENT MERKEZİ,0,0,0
ARAÇ,ELEKT. KISA DEV./ELEKT. KONTAĞI,KISMEN YANARAK KURTARILAN,YAPI_DEGIL,4,0.0,1.0,0.0,2397.5,GAZİEMİR,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5,0.0,0.2,0.0,2405.0,BORNOVA,KENT MERKEZİ,0,0,0
MOTOSİKLET,ELEKT. KISA DEV./ELEKT. KONTAĞI,KISMEN YANARAK KURTARILAN,YAPI_DEGIL,5,0.0,1.0,0.0,2440.0,FOÇA,KENT MERKEZİ,0,0,0
